Id,Name,Date(created_at),Tweet(text),User_id,Screen_name,Location
,,,,,,
1.14614E+18,David Browne,2019-07-02 19:27,"rt : microplastic is everywhere, but we have almost no idea what it's doing to animals and ecosystems. a system of small, isol…",494423542,davebrowne_nyc,"Raleigh, NC"
,,,,,,
1.14614E+18,Petros,2019-07-02 19:27," you &amp; your america hating athlete reps like colon craperneck .... suck! go to hell nike...better yet, move to… ",134910221,234pj,"Portland, OR"
,,,,,,
1.14614E+18,Allen Motew,2019-07-02 19:27,rt _ers: china’s increased  imports from brazil and canada do not fully offset lost u.s. imports.  http…,67390766,QTweather,CBOT
,,,,,,
1.14614E+18,Ryan Trelford,2019-07-02 19:27,rt : this makes 's ex-chief of staff look like an angel!  ,512537615,rtrelford,"North Saanich, B.C."
,,,,,,
1.14614E+18,JerryFurmanto  #FBPE People's Vote,2019-07-02 19:27,"rt : canada is refusing to roll over its eu trade agreement for the uk if there's a no-deal brexit.
of course they are! any bri…",759939776,Jerryfurmanto,UK
,,,,,,
1.14614E+18,sdl04pcsecprot,2019-07-02 19:27,_canada  i’m sure your vast experience as a guy who watched wheat grow then dig holes in the ground m… ,582675924,sdl04pcsecprot,
,,,,,,
1.14614E+18,DJ,2019-07-02 19:27,rt : . just has a thing for pre-charter canada and pre vatican 2 catholicism. you’d think he’s lived in someone’s baseme…,3357527992,Carrotmandoug,"Ontario, Canada"
,,,,,,
1.14614E+18,Marius Williams,2019-07-02 19:27,"rt __: so many idiots with this take.

kd
- kd had a 3-1 lead to gsw
- kd and co blew said 3-1 lead
- kd went and joined said team,…",1.11326E+18,MarWill1k,
,,,,,,
1.14614E+18,Morris Nguri,2019-07-02 19:27,rt : bird feeding chick cigarette end captured in picture ,1.04968E+18,MorrisNguri,"Ajman, United Arab Emirates"
,,,,,,
1.14614E+18,Steve Porter,2019-07-02 19:27,rt : still basking in the canada day weekend glow. fab time in lake of the woods country.  ,5448082,stevevrporter,"iPhone: 49.898360,-97.140085"
,,,,,,
1.14614E+18,Brandon,2019-07-02 19:27,"rt __: so many idiots with this take.

kd
- kd had a 3-1 lead to gsw
- kd and co blew said 3-1 lead
- kd went and joined said team,…",543919363,money_mort,The Front Porch
,,,,,,
1.14614E+18,ShitPeopleSayAtTheBar,2019-07-02 19:27,"rt : happy birthday to my 152 year old lover, canada.  ",1.14294E+18,ShitPeopleSayA3,
,,,,,,
1.14614E+18,Charlotte McParland,2019-07-02 19:27,rt : happy 152nd canada    ,258381159,charlotte_mcp,
,,,,,,
1.14614E+18,OutaouaisRanger,2019-07-02 19:27,"canada opposes russian aggression, trudeau tells ukraine’s new president    … ",3164593204,OutaouaisRanger,#Ottawa ~ #Gatineau
,,,,,,
1.14614E+18,||-//,2019-07-02 19:27,"rt : hi i’m smiley, a 17 year old clique artist from canada. i’m so glad to be a part of the cliqueart community, you all inspire…",8.85712E+17,Choriandr,On the run and go
,,,,,,
1.14614E+18,anne selley,2019-07-02 19:27,"rt _com: artic fox baffled scientists by making an epic 3,500 miles journey from norway to canada in 76 days

 ht…",155875965,cheltenhamlady,cheltenham
,,,,,,
1.14614E+18,Mames,2019-07-02 19:27,"  she co sponsored bernie sanders bill, so yes that is her position. additionally, she raised… ",2950292991,1_InsanePenguin,
,,,,,,
1.14614E+18,U SPORTS,2019-07-02 19:27,follow  for exclusive coverage of u sports team canada! / suivez  pour la couverture exclus… ,16486901,USPORTSca,Canada
,,,,,,
1.14614E+18,Wb.Twann,2019-07-02 19:27,"rt : every single week, i hear the same thing, no matter where i am in the world:

“go back to canada!”

my answer is the s…",9.26434E+17,Stayturnt_ant,"Maryland, USA"
,,,,,,
1.14614E+18,Dafydd Wyn Jones,2019-07-02 19:27,"rt : y geiriau ar ochr dde mynedfa mynwent ponoka, alberta canada ",1077434971,StanY1af,Ffestiniog
,,,,,,
1.14614E+18,(((Renee Perry))),2019-07-02 19:27,rt : kudos to this young researcher! “the noisiest of the 44 hand dryers nora tested exceeded 100 dba (a measure of decibels)...at…,21415637,rroseperry,
,,,,,,
1.14614E+18,Angélica Perina,2019-07-02 19:27,"rt : acordo com ue abre apetite negociador de outros países, diz chanceler
próximos acordos incluem efta, canadá, singapura e c…",595966412,angelica_perina,"Piracicaba, SP"
,,,,,,
1.14614E+18,Lyne_Robichaud,2019-07-02 19:27,"rt : le walkman, de sony, a 40 ans. le mien était jaune, le modèle sport, que j'aimerais offrir à ma fille, si j'en trouve un ab…",16941596,Lyne_Robichaud,"Trois-Rivières, Québec, CANADA"
,,,,,,
1.14614E+18,Fern,2019-07-02 19:27,"anglos, francophones sign deal to work together on minority language rights   via ",246637413,fermangogo,"montreal, canada"
,,,,,,
1.14614E+18,Fu$cO,2019-07-02 19:27,"rt __: so many idiots with this take.

kd
- kd had a 3-1 lead to gsw
- kd and co blew said 3-1 lead
- kd went and joined said team,…",2856713155,__TAF___,
,,,,,,
1.14614E+18,Oakville Deal Finder,2019-07-02 19:27,bird canada is  bringing e-scooter rentals to select cities across canada. get all the details and see where they're…,2851898445,OAKV_DealFinder,"Oakville, Ontario"
,,,,,,
